scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode
linear-resume,raw-cold-first-open,enabled,current,current,1,0,128,ok,1,512,49.059041000000036,712.966166,,,,712.8143749999999,179.5316609736569,114.109375,114.109375,0.078125,114.40625,302.15625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.07125,""cpuUserMicros"":73,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":242.034125,""cpuUserMicros"":414340,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":74.525709,""cpuUserMicros"":78493,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.890667,""cpuUserMicros"":5022,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":33.714625,""cpuUserMicros"":34880,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.033833,""cpuUserMicros"":34,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":142.529917,""cpuUserMicros"":244727,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":6.266958,""cpuUserMicros"":3227,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":122.636793,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.822125}",0.6857500000000982,0.09458299999982955,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,1,128,ok,1,512,46.72616599999998,719.006,,,,718.830583,178.02354917761468,114,114,0.125,114.21875,301.421875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.023708,""cpuUserMicros"":26,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":242.056625,""cpuUserMicros"":425490,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":83.032417,""cpuUserMicros"":88088,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.992916,""cpuUserMicros"":6052,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":40.719333,""cpuUserMicros"":42022,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.039125,""cpuUserMicros"":39,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":165.341166,""cpuUserMicros"":268857,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.986667,""cpuUserMicros"":3784,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":125.77475099999998,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.789251}",0.8117909999998574,0.06245899999998983,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,2,128,ok,1,512,43.26429200000001,707.8054999999999,,,,707.65825,180.84064054320007,113.984375,113.984375,0.09375,114.296875,301.765625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.028708,""cpuUserMicros"":30,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":239.167833,""cpuUserMicros"":417710,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":84.695583,""cpuUserMicros"":90292,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":5.542291,""cpuUserMicros"":6644,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":43.716292,""cpuUserMicros"":45516,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.036917,""cpuUserMicros"":38,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":164.093209,""cpuUserMicros"":273385,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.0555,""cpuUserMicros"":3022,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":117.56287600000003,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.921959}",0.6640419999998812,0.08191699999997581,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,0,512,ok,1,2047,156.70279100000005,2201.812041,,,,2201.6878340000003,232.53574349946066,118.984375,118.984375,0.046875,119.0625,362.015625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.03125,""cpuUserMicros"":32,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":670.741291,""cpuUserMicros"":965091,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":95.591584,""cpuUserMicros"":99996,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":8.599208,""cpuUserMicros"":9298,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":47.214792,""cpuUserMicros"":46749,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.038708,""cpuUserMicros"":38,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":633.825292,""cpuUserMicros"":1094928,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.78125,""cpuUserMicros"":3595,""cpuSystemMicros"":null}}","{""gcRequests"":42,""gcElapsedMs"":203.666039,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.88125}",0.9842079999998532,0.08533299999999144,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,42,604305184,503696,2049,2,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,1,512,ok,1,2047,160.20383400000003,2164.7541659999997,,,,2164.6194160000005,236.5164636435674,119.734375,119.734375,0.109375,119.90625,366.640625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.024083,""cpuUserMicros"":25,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":650.960083,""cpuUserMicros"":961516,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":88.017125,""cpuUserMicros"":95778,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":7.621875,""cpuUserMicros"":8291,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":43.879583,""cpuUserMicros"":47617,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.039375,""cpuUserMicros"":40,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":647.363875,""cpuUserMicros"":1094757,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.282917,""cpuUserMicros"":3075,""cpuSystemMicros"":null}}","{""gcRequests"":42,""gcElapsedMs"":183.608086,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.731209}",0.8186249999998836,0.07145799999989322,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,42,604305184,503696,2049,2,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,2,512,ok,1,2047,149.05437500000005,2151.212292,,,,2151.099791,238.0053339710091,118.921875,118.921875,0.03125,119,361.609375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.027417,""cpuUserMicros"":29,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":658.143459,""cpuUserMicros"":964716,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":105.810125,""cpuUserMicros"":99219,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":8.454375,""cpuUserMicros"":9074,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":60.778833,""cpuUserMicros"":50102,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.035167,""cpuUserMicros"":35,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":636.446,""cpuUserMicros"":1081284,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.348542,""cpuUserMicros"":3194,""cpuSystemMicros"":null}}","{""gcRequests"":42,""gcElapsedMs"":186.1497,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.6387079999999999}",0.8803750000001855,0.07108299999981682,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,42,604305184,503696,2049,2,2,
