scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,openConcurrency,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode,failureMessage
subagent-tree,raw-cold-first-open,auto,pressure,off,1,0,2,512,ok,5,2050,212.16137499999996,629.1291669999999,,,,268.40979200000004,813.8233400328108,79.96875,79.96875,2.015625,82.390625,287.28125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.023334,""cpuUserMicros"":25,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":97.903709,""cpuUserMicros"":116396,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":22.23825,""cpuUserMicros"":19924,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":0.924782,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.0025,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001083,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.045833,""cpuUserMicros"":45,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":3.5394170000000003,""cpuUserMicros"":725,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":2.962875,""cpuUserMicros"":1567,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":122.5155,""cpuUserMicros"":140417,""cpuSystemMicros"":null}}","{""gcRequests"":14,""gcElapsedMs"":53.011875,""bytesRead"":738694474,""bytesWritten"":500355,""recordsParsed"":2070,""lineAssemblyCopyCount"":10265,""lineAssemblyCopyBytes"":539160818,""indexWriteCalls"":5,""indexWriteBytes"":496970,""fsyncCount"":10,""fsyncElapsedMs"":5.574584}",0.7051249999999527,0.10483300000009876,5,0,226.00556564331055,225.3125,1.952244758605957,0.48103809356689453,true,true,false,false,14,738694474,500355,2070,5,10,,
subagent-tree,raw-cold-first-open,auto,pressure,off,1,1,2,512,ok,5,2050,196.847667,620.1049579999999,,,,269.49754099999996,825.6666768982681,80.296875,80.296875,2.234375,83.296875,284.1875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.024125,""cpuUserMicros"":26,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":102.515625,""cpuUserMicros"":119908,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":24.627333,""cpuUserMicros"":20234,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":1.21642,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.00275,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001084,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.041375,""cpuUserMicros"":41,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":5.485251,""cpuUserMicros"":673.9999999999999,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.462166,""cpuUserMicros"":1445,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":118.424917,""cpuUserMicros"":132905,""cpuSystemMicros"":null}}","{""gcRequests"":13,""gcElapsedMs"":48.672001,""bytesRead"":738694474,""bytesWritten"":500355,""recordsParsed"":2070,""lineAssemblyCopyCount"":10265,""lineAssemblyCopyBytes"":539160818,""indexWriteCalls"":5,""indexWriteBytes"":496970,""fsyncCount"":10,""fsyncElapsedMs"":7.790916999999999}",0.6551249999999982,0.06908300000009149,5,0,226.00556564331055,225.3125,1.952244758605957,0.48103809356689453,true,true,false,false,13,738694474,500355,2070,5,10,,
subagent-tree,raw-cold-first-open,auto,pressure,off,1,2,2,512,ok,5,2050,179.09787500000004,642.911083,,,,263.3548329999999,796.3776228757282,81.234375,81.234375,2.015625,83.8125,284.625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.03175,""cpuUserMicros"":34,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":98.204292,""cpuUserMicros"":117073,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":18.753125,""cpuUserMicros"":19277,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":0.847271,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.00075,""cpuUserMicros"":0,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.037917,""cpuUserMicros"":38,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.65125,""cpuUserMicros"":610,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.303167,""cpuUserMicros"":1289,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":121.209292,""cpuUserMicros"":134149,""cpuSystemMicros"":null}}","{""gcRequests"":13,""gcElapsedMs"":53.256331,""bytesRead"":738694474,""bytesWritten"":500355,""recordsParsed"":2070,""lineAssemblyCopyCount"":10265,""lineAssemblyCopyBytes"":539160818,""indexWriteCalls"":5,""indexWriteBytes"":496970,""fsyncCount"":10,""fsyncElapsedMs"":3.4275019999999996}",0.6807920000001104,0.05395799999996598,5,0,226.00556564331055,225.3125,1.952244758605957,0.48103809356689453,true,true,false,false,13,738694474,500355,2070,5,10,,
