scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,openConcurrency,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode,failureMessage
linear-resume,raw-cold-first-open,auto,none,off,1,0,1,2048,ok,1,8187,695.40725,1799.187084,,,,1799.0308750000002,1138.291853144495,96.671875,96.671875,2.453125,99.265625,434.75,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.047292,""cpuUserMicros"":48,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":1745.508083,""cpuUserMicros"":1798451,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":31.002125,""cpuUserMicros"":34999,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":13.500233,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002458,""cpuUserMicros"":2,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001083,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.036625,""cpuUserMicros"":36,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":1.3876249999999999,""cpuUserMicros"":672,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.303667,""cpuUserMicros"":1290,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.02625,""cpuUserMicros"":2759,""cpuSystemMicros"":null}}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":2216622620,""bytesWritten"":2030793,""recordsParsed"":8191,""lineAssemblyCopyCount"":13167,""lineAssemblyCopyBytes"":1719020196,""indexWriteCalls"":8,""indexWriteBytes"":2030108,""fsyncCount"":2,""fsyncElapsedMs"":1.382833}",1.9757500000000618,0.0716669999997066,1,0,45.39923095703125,45.0625,0.5885343551635742,1.9374914169311523,true,true,false,false,0,2216622620,2030793,8191,8,2,,
linear-resume,raw-cold-first-open,auto,none,off,1,1,1,2048,ok,1,8187,723.630791,1806.234833,,,,1806.0746250000002,1133.8503513402236,94.625,94.625,2.65625,97.75,437.46875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.024875,""cpuUserMicros"":26,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":1747.644959,""cpuUserMicros"":1797729,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":32.021958,""cpuUserMicros"":36653,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":13.897047,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002209,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001125,""cpuUserMicros"":2,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.041584,""cpuUserMicros"":41,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.738375,""cpuUserMicros"":594,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.398916,""cpuUserMicros"":1391,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":6.503667,""cpuUserMicros"":2717,""cpuSystemMicros"":null}}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":2216622620,""bytesWritten"":2030793,""recordsParsed"":8191,""lineAssemblyCopyCount"":13167,""lineAssemblyCopyBytes"":1719020196,""indexWriteCalls"":8,""indexWriteBytes"":2030108,""fsyncCount"":2,""fsyncElapsedMs"":0.733125}",2.415457999999944,0.06608299999970768,1,0,45.39923095703125,45.0625,0.5885343551635742,1.9374914169311523,true,true,false,false,0,2216622620,2030793,8191,8,2,,
linear-resume,raw-cold-first-open,auto,none,off,1,2,1,2048,ok,1,8187,642.9912079999999,1793.7992920000002,,,,1793.645833,1141.7107862254636,96.125,96.125,1.71875,97.984375,441.796875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.027458,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":1740.668125,""cpuUserMicros"":1794120,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":31.284042,""cpuUserMicros"":35671,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":10.911237,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002458,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.000917,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.037375,""cpuUserMicros"":39,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.8765419999999999,""cpuUserMicros"":723.0000000000001,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.378833,""cpuUserMicros"":1363,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.621125,""cpuUserMicros"":2766,""cpuSystemMicros"":null}}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":2216622620,""bytesWritten"":2030793,""recordsParsed"":8191,""lineAssemblyCopyCount"":13167,""lineAssemblyCopyBytes"":1719020196,""indexWriteCalls"":8,""indexWriteBytes"":2030108,""fsyncCount"":2,""fsyncElapsedMs"":0.872125}",1.9268339999998716,0.048457999999754975,1,0,45.39923095703125,45.0625,0.5885343551635742,1.9374914169311523,true,true,false,false,0,2216622620,2030793,8191,8,2,,
