scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode
linear-resume,raw-cold-first-open,enabled,pressure,current,1,0,128,ok,1,512,44.383542000000034,596.01425,,,,595.89075,214.7599658900773,112.96875,112.96875,0.0625,113.21875,300.203125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.022833,""cpuUserMicros"":24,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":151.849083,""cpuUserMicros"":207468,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":80.61575,""cpuUserMicros"":85527,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":5.265333,""cpuUserMicros"":6382,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":39.064292,""cpuUserMicros"":40128,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.042209,""cpuUserMicros"":43,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":146.141583,""cpuUserMicros"":250054,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.346083,""cpuUserMicros"":3078,""cpuSystemMicros"":null}}","{""gcRequests"":7,""gcElapsedMs"":31.739373999999998,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.701999}",0.6649999999999636,0.0660410000000411,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,7,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,1,128,ok,1,512,56.453959,608.75625,,,,608.6605,210.26478167575283,113.28125,113.28125,0.15625,113.609375,301.21875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.022292,""cpuUserMicros"":24,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":154.008042,""cpuUserMicros"":209424,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":84.872417,""cpuUserMicros"":86668,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":5.152083,""cpuUserMicros"":6063,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":39.512209,""cpuUserMicros"":40885,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.0485,""cpuUserMicros"":49,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":156.181875,""cpuUserMicros"":264913,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.082458,""cpuUserMicros"":3063,""cpuSystemMicros"":null}}","{""gcRequests"":7,""gcElapsedMs"":33.932042,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.963708}",0.82974999999999,0.06349999999997635,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,7,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,2,128,ok,1,512,39.03970800000002,581.221167,,,,581.1175000000001,220.22597810860523,110.84375,110.84375,0.046875,111.09375,300.453125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.026041,""cpuUserMicros"":27,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":146.634167,""cpuUserMicros"":199975,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":88.076333,""cpuUserMicros"":88844,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.871917,""cpuUserMicros"":5808,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":48.481542,""cpuUserMicros"":44706,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.0355,""cpuUserMicros"":35,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":153.703458,""cpuUserMicros"":259970.00000000003,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.897208,""cpuUserMicros"":3036,""cpuSystemMicros"":null}}","{""gcRequests"":7,""gcElapsedMs"":28.663415999999998,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.9155409999999999}",0.6931659999999056,0.171875,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,7,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,0,512,ok,1,2047,160.3825,1984.586208,,,,1984.4109170000002,257.9882889118617,119.65625,119.65625,0.0625,119.890625,362.359375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.026375,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":578.582167,""cpuUserMicros"":768007,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":97.339542,""cpuUserMicros"":105785,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":9.079417,""cpuUserMicros"":9873,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":48.899542,""cpuUserMicros"":52607,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.041958,""cpuUserMicros"":43,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":566.526458,""cpuUserMicros"":972530,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.5685,""cpuUserMicros"":3006,""cpuSystemMicros"":null}}","{""gcRequests"":24,""gcElapsedMs"":109.45575099999998,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.631708}",0.888459000000239,0.08358399999997346,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,24,604305184,503696,2049,2,2,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,1,512,ok,1,2047,197.48062499999997,2009.2348339999999,,,,2009.1157919999998,254.82337421987978,118.9375,118.9375,0.0625,119.03125,365.890625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.0215,""cpuUserMicros"":23,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":573.990042,""cpuUserMicros"":752633,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":94.410084,""cpuUserMicros"":103129,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":10.04175,""cpuUserMicros"":10837,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":46.864583,""cpuUserMicros"":50598,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.035334,""cpuUserMicros"":36,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":600.0845,""cpuUserMicros"":1029106,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.509167,""cpuUserMicros"":2745,""cpuSystemMicros"":null}}","{""gcRequests"":24,""gcElapsedMs"":103.552956,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.762833}",0.7937080000001515,0.06483299999990777,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,24,604305184,503696,2049,2,2,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,2,512,ok,1,2047,164.60508299999998,2043.600916,,,,2043.424166,250.53815350707154,118.546875,118.546875,0.109375,118.703125,372.421875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.032375,""cpuUserMicros"":34,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":564.51825,""cpuUserMicros"":743338,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":93.77425,""cpuUserMicros"":101908,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":9.106167,""cpuUserMicros"":9856,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":46.038167,""cpuUserMicros"":49586,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.039584,""cpuUserMicros"":39,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":620.938958,""cpuUserMicros"":1073017,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.891792,""cpuUserMicros"":2873,""cpuSystemMicros"":null}}","{""gcRequests"":24,""gcElapsedMs"":103.03091599999999,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.734417}",0.9015830000003007,0.06079200000021956,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,24,604305184,503696,2049,2,2,
