scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode
linear-resume,raw-cold-first-open,auto,current,current,1,0,128,ok,1,512,42.85904199999999,799.261084,,,,799.256542,160.14791982540714,112.234375,112.234375,0.09375,112.453125,293.328125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.022,""cpuUserMicros"":23,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":257.847875,""cpuUserMicros"":415242,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":90.156042,""cpuUserMicros"":93443,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":7.058667,""cpuUserMicros"":7660,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":45.198833,""cpuUserMicros"":45182,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.046084,""cpuUserMicros"":47,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":217.403834,""cpuUserMicros"":269090,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":6.69825,""cpuUserMicros"":3264,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":136.60746100000003,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.8915409999999999}",0.7898749999999382,0.13658299999997325,1,0,45.39968490600586,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,auto,current,current,1,1,128,ok,1,512,45.674375,916.749125,,,,916.742583,139.62380384055453,112.671875,112.671875,0.078125,112.9375,304.0625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.027834,""cpuUserMicros"":30,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":316.116458,""cpuUserMicros"":417524,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":108.839166,""cpuUserMicros"":89467,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":6.405,""cpuUserMicros"":6892,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":41.706417,""cpuUserMicros"":40369,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.042375,""cpuUserMicros"":42,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":193.842542,""cpuUserMicros"":271265,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":7.10025,""cpuUserMicros"":4054.0000000000005,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":178.42912700000002,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.784749}",0.977333999999928,0.14554199999997763,1,0,45.39968490600586,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,auto,current,current,1,2,128,ok,1,512,93.46141699999998,995.0185829999999,,,,995.011417,128.6408135354393,111.3125,111.3125,0.03125,111.5625,296.59375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.033875,""cpuUserMicros"":35,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":323.257791,""cpuUserMicros"":431293,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":100.647916,""cpuUserMicros"":96209,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":10.756709,""cpuUserMicros"":7616,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":49.852292,""cpuUserMicros"":48101,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.040583,""cpuUserMicros"":41,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":274.0055,""cpuUserMicros"":280153,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":13.9795,""cpuUserMicros"":3924,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":176.76712600000005,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.931376}",0.9439170000000559,0.12666699999999764,1,0,45.39968490600586,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,0,128,ok,1,512,53.50070800000003,909.1952500000001,,,,909.1903750000001,140.78384153458785,110.296875,110.296875,0.09375,110.625,299.53125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.034792,""cpuUserMicros"":37,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":361.712125,""cpuUserMicros"":439211,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":90.476708,""cpuUserMicros"":94938,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":5.570083,""cpuUserMicros"":6619,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":48.256792,""cpuUserMicros"":49069,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.039042,""cpuUserMicros"":40,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":190.391875,""cpuUserMicros"":275452,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":6.109375,""cpuUserMicros"":3329,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":206.78495999999998,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.7887500000000001}",0.6844590000000608,0.1173750000000382,1,0,45.39968490600586,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,1,128,ok,1,512,43.092457999999965,994.2226669999999,,,,994.217625,128.74379577990453,112.390625,112.390625,0.09375,112.640625,303.109375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.024583,""cpuUserMicros"":26,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":373.958625,""cpuUserMicros"":445635,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":102.245333,""cpuUserMicros"":101648,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":6.555375,""cpuUserMicros"":7416,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":54.129917,""cpuUserMicros"":52677,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.051334,""cpuUserMicros"":52,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":184.100583,""cpuUserMicros"":273376,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":6.73375,""cpuUserMicros"":3554,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":233.881456,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.904292}",0.8113749999999982,0.08054200000015044,1,0,45.39968490600586,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,current,current,1,2,128,ok,1,512,53.50124999999997,989.298916,,,,989.290333,129.38455499126414,113,113,0.125,113.21875,299.796875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.062208,""cpuUserMicros"":60,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":324.522666,""cpuUserMicros"":427241,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":94.715167,""cpuUserMicros"":94532,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":7.52275,""cpuUserMicros"":7945,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":49.056208,""cpuUserMicros"":46162,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.045583,""cpuUserMicros"":47,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":258.155708,""cpuUserMicros"":285571,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":7.992916,""cpuUserMicros"":5107,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":197.72658800000005,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":1.108542}",1.1589999999998781,0.10425000000009277,1,0,45.39968490600586,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,off,current,current,1,0,128,rejected,1,512,54.6225,12.468999999999994,,,,0,0,17.625,17.625,-93.015625,17.859375,209.53125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":null,""gcElapsedMs"":null,""bytesRead"":null,""bytesWritten"":null,""recordsParsed"":null,""lineAssemblyCopyCount"":null,""lineAssemblyCopyBytes"":null,""indexWriteCalls"":null,""indexWriteBytes"":null,""fsyncCount"":null,""fsyncElapsedMs"":null}",0,0,0,0,0,,,,,,,,,,,oversized
linear-resume,raw-cold-first-open,off,current,current,1,1,128,rejected,1,512,49.72066600000005,13.501750000000015,,,,0,0,18.015625,18.015625,-90.28125,18.140625,206.578125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":null,""gcElapsedMs"":null,""bytesRead"":null,""bytesWritten"":null,""recordsParsed"":null,""lineAssemblyCopyCount"":null,""lineAssemblyCopyBytes"":null,""indexWriteCalls"":null,""indexWriteBytes"":null,""fsyncCount"":null,""fsyncElapsedMs"":null}",0,0,0,0,0,,,,,,,,,,,oversized
linear-resume,raw-cold-first-open,off,current,current,1,2,128,rejected,1,512,59.494834000000026,10.923166999999978,,,,0,0,18.015625,18.015625,-88.515625,18.140625,205.15625,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":null,""gcElapsedMs"":null,""bytesRead"":null,""bytesWritten"":null,""recordsParsed"":null,""lineAssemblyCopyCount"":null,""lineAssemblyCopyBytes"":null,""indexWriteCalls"":null,""indexWriteBytes"":null,""fsyncCount"":null,""fsyncElapsedMs"":null}",0,0,0,0,0,,,,,,,,,,,oversized
