scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,openConcurrency,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode,failureMessage
linear-resume,raw-cold-first-open,auto,pressure,off,1,0,1,128,ok,1,512,38.65199999999999,178.10137499999996,,,,177.956792,718.6918124579332,97.578125,97.578125,0.203125,98.03125,284.8125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.02625,""cpuUserMicros"":27,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":115.652417,""cpuUserMicros"":131773,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":38.592083,""cpuUserMicros"":31216,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":0.812004,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.001917,""cpuUserMicros"":2,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.034917,""cpuUserMicros"":36,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.591626,""cpuUserMicros"":545,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.16925,""cpuUserMicros"":1150,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":3.997917,""cpuUserMicros"":2206,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":10.291709,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.587751}",0.585125000000005,0.048957999999970525,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,1,1,128,ok,1,512,45.170875000000024,195.57858300000004,,,,195.43862500000006,654.4683882897341,86.359375,86.359375,0.171875,86.703125,275.96875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.061375,""cpuUserMicros"":63,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":129.664791,""cpuUserMicros"":140955,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":31.241375,""cpuUserMicros"":32343.000000000004,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":1.163162,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002916,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001167,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.047375,""cpuUserMicros"":47,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.742499,""cpuUserMicros"":671.9999999999999,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":4.189875,""cpuUserMicros"":1788,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.730209,""cpuUserMicros"":2776,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":12.403833,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.7370829999999999}",0.7785000000000082,0.07200000000000273,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,auto,pressure,off,1,2,1,128,ok,1,512,45.06766699999997,173.277042,,,,173.12824999999998,738.7014374356645,97.625,97.625,0.65625,98.515625,288.75,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.028,""cpuUserMicros"":30,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":117.824084,""cpuUserMicros"":134883,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":30.636875,""cpuUserMicros"":31569,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":0.886166,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002458,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.000958,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.041084,""cpuUserMicros"":41,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.680624,""cpuUserMicros"":645,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.339125,""cpuUserMicros"":1324,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":3.995042,""cpuUserMicros"":2443,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":11.473543,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.675249}",0.7101670000000695,0.0661249999999427,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,enabled,pressure,off,1,0,1,128,ok,1,512,86.85999999999996,179.43300000000005,,,,179.285708,713.3581894077454,96.09375,96.09375,0.671875,97.21875,284.203125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.02675,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":121.482209,""cpuUserMicros"":141839,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":31.74275,""cpuUserMicros"":30978,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":1.093294,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002083,""cpuUserMicros"":2,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.000959,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.0365,""cpuUserMicros"":37,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.640584,""cpuUserMicros"":591,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.709833,""cpuUserMicros"":1683,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.202333,""cpuUserMicros"":2512,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":12.378792,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.636334}",0.6522909999999911,0.05562499999996362,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,enabled,pressure,off,1,1,1,128,ok,1,512,56.373875,177.13187500000004,,,,176.98008299999998,722.6254450250694,89.203125,89.203125,0.375,90.328125,277.890625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.025667,""cpuUserMicros"":26,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":119.457334,""cpuUserMicros"":137260,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":30.464458,""cpuUserMicros"":31374,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":1.016656,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002458,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001167,""cpuUserMicros"":2,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.040834,""cpuUserMicros"":42,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.675417,""cpuUserMicros"":627,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.463792,""cpuUserMicros"":1447,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.238625,""cpuUserMicros"":3175,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":11.585542,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.6705}",0.6649580000000697,0.06741699999997763,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,enabled,pressure,off,1,2,1,128,ok,1,512,52.02724999999998,172.39383399999997,,,,172.253958,742.4859522527936,96.578125,96.578125,0.71875,97.609375,284.34375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.02675,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":118.343417,""cpuUserMicros"":138069,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":30.472375,""cpuUserMicros"":31307,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":0.946451,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.001959,""cpuUserMicros"":2,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001,""cpuUserMicros"":0,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.037375,""cpuUserMicros"":38,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.533374,""cpuUserMicros"":490,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.288333,""cpuUserMicros"":1273,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.362958,""cpuUserMicros"":2522,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":11.96625,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.529916}",0.6025419999999713,0.05633299999999508,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,off,pressure,off,1,0,1,128,rejected,1,512,,,,,,,,,,,,,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":null,""gcElapsedMs"":null,""bytesRead"":null,""bytesWritten"":null,""recordsParsed"":null,""lineAssemblyCopyCount"":null,""lineAssemblyCopyBytes"":null,""indexWriteCalls"":null,""indexWriteBytes"":null,""fsyncCount"":null,""fsyncElapsedMs"":null}",,,,,,,,,,,,,,,,,,,oversized,"The selected session transcript is too large to resume safely. Use `gjc export <session-file>` to export its content into a new session, or remove/archive it after confirming its content is no longer needed."
linear-resume,raw-cold-first-open,off,pressure,off,1,1,1,128,rejected,1,512,,,,,,,,,,,,,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":null,""gcElapsedMs"":null,""bytesRead"":null,""bytesWritten"":null,""recordsParsed"":null,""lineAssemblyCopyCount"":null,""lineAssemblyCopyBytes"":null,""indexWriteCalls"":null,""indexWriteBytes"":null,""fsyncCount"":null,""fsyncElapsedMs"":null}",,,,,,,,,,,,,,,,,,,oversized,"The selected session transcript is too large to resume safely. Use `gjc export <session-file>` to export its content into a new session, or remove/archive it after confirming its content is no longer needed."
linear-resume,raw-cold-first-open,off,pressure,off,1,2,1,128,rejected,1,512,,,,,,,,,,,,,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":null,""gcElapsedMs"":null,""bytesRead"":null,""bytesWritten"":null,""recordsParsed"":null,""lineAssemblyCopyCount"":null,""lineAssemblyCopyBytes"":null,""indexWriteCalls"":null,""indexWriteBytes"":null,""fsyncCount"":null,""fsyncElapsedMs"":null}",,,,,,,,,,,,,,,,,,,oversized,"The selected session transcript is too large to resume safely. Use `gjc export <session-file>` to export its content into a new session, or remove/archive it after confirming its content is no longer needed."
