scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode
linear-resume,raw-cold-first-open,enabled,async,current,1,0,128,ok,1,512,44.068375,611.103542,,,,610.9730830000001,209.45713975259534,160,160,0.0625,160.25,341.46875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.022333,""cpuUserMicros"":23,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":136.1945,""cpuUserMicros"":168256,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":78.101417,""cpuUserMicros"":80659,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.455666,""cpuUserMicros"":5325,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":38.941291,""cpuUserMicros"":38099,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.031708,""cpuUserMicros"":32,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":150.190208,""cpuUserMicros"":253886,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.194084,""cpuUserMicros"":3199,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":1.2462519999999997,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.6507080000000001}",0.7058749999999918,0.09420799999998053,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,async,current,1,1,128,ok,1,512,46.19266700000003,582.076208,,,,581.9347500000001,219.90247709969967,160,160,0.09375,160.28125,349.1875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.053625,""cpuUserMicros"":56,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":145.124333,""cpuUserMicros"":179722,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":83.178792,""cpuUserMicros"":88591,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.80325,""cpuUserMicros"":5697,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":40.361333,""cpuUserMicros"":41895,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.026125,""cpuUserMicros"":27,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":147.486917,""cpuUserMicros"":245882,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.405125,""cpuUserMicros"":2604,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":1.5274599999999998,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.6337090000000001}",0.5971250000000055,0.05712500000004184,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,async,current,1,2,128,ok,1,512,42.462333,625.017916,,,,624.837042,204.79412945340275,150.734375,150.734375,0.078125,151,337.28125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.025542,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":147.845125,""cpuUserMicros"":183561,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":92.613667,""cpuUserMicros"":94878,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":6.091334,""cpuUserMicros"":7187,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":47.683458,""cpuUserMicros"":46027,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.043834,""cpuUserMicros"":44,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":177.689583,""cpuUserMicros"":276652,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.668,""cpuUserMicros"":3420,""cpuSystemMicros"":null}}","{""gcRequests"":26,""gcElapsedMs"":1.7350419999999998,""bytesRead"":201274397,""bytesWritten"":124961,""recordsParsed"":514,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":1.127499}",0.7617500000000064,0.10758299999997689,1,0,45.39968490600586,45.0625,0.595362663269043,0.3169212341308594,true,true,true,true,26,201274397,124961,514,1,2,
linear-resume,raw-cold-first-open,enabled,async,current,1,0,512,ok,1,2047,144.11758299999997,1952.7487909999998,,,,1952.6361670000001,262.19450364519525,118.25,118.25,0.09375,118.484375,368.90625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.029792,""cpuUserMicros"":31,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":516.064667,""cpuUserMicros"":627937,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":87.541166,""cpuUserMicros"":95789,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":8.253583,""cpuUserMicros"":8831,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":43.210833,""cpuUserMicros"":47346,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.038042,""cpuUserMicros"":38,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":584.129875,""cpuUserMicros"":1007731,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.111625,""cpuUserMicros"":3090,""cpuSystemMicros"":null}}","{""gcRequests"":42,""gcElapsedMs"":2.6585810000000003,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.6931670000000001}",0.8374589999998534,0.08095800000000963,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,42,604305184,503696,2049,2,2,
linear-resume,raw-cold-first-open,enabled,async,current,1,1,512,ok,1,2047,163.4685,1941.6451670000001,,,,1941.510792,263.69390695164026,126.046875,126.046875,0.046875,126.125,365.421875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.0265,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":522.359667,""cpuUserMicros"":637575,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":98.085417,""cpuUserMicros"":102525,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":9.966292,""cpuUserMicros"":11818,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":52.09025,""cpuUserMicros"":51093,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.04225,""cpuUserMicros"":43,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":586.9415,""cpuUserMicros"":1013106,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.653083,""cpuUserMicros"":3358,""cpuSystemMicros"":null}}","{""gcRequests"":42,""gcElapsedMs"":2.856585000000001,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.647625}",1.1799169999999322,0.08799999999973807,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,42,604305184,503696,2049,2,2,
linear-resume,raw-cold-first-open,enabled,async,current,1,2,512,ok,1,2047,173.58750000000003,1943.7283330000002,,,,1943.5969579999999,263.411296376879,126.953125,126.953125,0.03125,127.015625,372.96875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.027583,""cpuUserMicros"":30,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":515.018208,""cpuUserMicros"":630393,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":91.939916,""cpuUserMicros"":100729,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":9.092333,""cpuUserMicros"":9837,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":45.322167,""cpuUserMicros"":49443,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.040084,""cpuUserMicros"":40,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":599.679584,""cpuUserMicros"":1025023.9999999999,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.724,""cpuUserMicros"":2852,""cpuSystemMicros"":null}}","{""gcRequests"":42,""gcElapsedMs"":2.328707,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.894666}",0.7065829999996822,0.059249999999792635,1,0,45.40183448791504,45.0625,0.5975179672241211,1.258035659790039,true,true,true,true,42,604305184,503696,2049,2,2,
