scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode
linear-resume,raw-cold-first-open,auto,current,current,1,0,16,ok,1,64,6.83604200000002,72.36029200000002,,,,72.355166,221.11574674132044,71.109375,71.109375,0.9375,72.53125,224.25,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.2087500000000091,0.13920899999999392,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,1,16,ok,1,64,7.409334000000001,74.181375,,,,74.177459,215.68756308439953,71,71,0.875,72.265625,224.125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.2556250000000091,0.13150000000001683,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,2,16,ok,1,64,8.063084000000003,75.69324999999998,,,,75.68883299999999,211.37948231843666,71.46875,71.46875,0.40625,72.203125,223.90625,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.22120899999998755,0.11720800000000509,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,3,16,ok,1,64,8.119207999999958,71.86366699999996,,,,71.85858400000001,222.64380135235805,71.515625,71.515625,0.703125,72.5625,223.90625,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.23004099999997152,0.15454199999999219,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,4,16,ok,1,64,7.760959000000014,80.04616600000003,,,,80.04145899999997,199.88465156469823,71.59375,71.59375,0.609375,73.125,224.4375,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.17287499999997635,0.21595800000000054,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,0,32,ok,1,128,14.734291999999982,124.919916,,,,124.91383300000001,256.1641171772802,110.84375,110.84375,0.171875,111.1875,269.46875,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.21812499999998636,0.12325000000004138,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,1,32,ok,1,128,15.942791999999997,126.85870799999998,,,,126.852708,252.2491400432677,109.109375,109.109375,0.5,109.8125,267.921875,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.6082910000000084,0.15679099999999835,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,2,32,ok,1,128,14.057708999999988,108.62491700000004,,,,108.621125,294.59170956144425,111.265625,111.265625,0.125,111.921875,269.4375,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.1692920000000413,0.10108400000001438,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,3,32,ok,1,128,13.104209000000026,124.24574999999999,,,,124.24087500000002,257.5540813267255,108.6875,108.6875,0.0625,108.921875,267.125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.2539579999999546,0.18233400000002575,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,4,32,ok,1,128,14.132874999999956,121.04329100000001,,,,121.03854100000001,264.3682250840321,109.265625,109.265625,0.078125,109.640625,267.4375,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.21079199999996945,0.12191699999999628,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,0,64,ok,1,256,23.05012499999998,213.85620900000004,,,,213.85258300000004,299.2665038778462,248,248,0.0625,248.21875,407.265625,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.2972499999999627,0.13125000000002274,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,1,64,ok,1,256,23.406042000000014,213.72449999999998,,,,213.72041699999994,299.4509286487979,232.53125,232.53125,0.0625,233.25,406.375,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.4234169999999722,0.16341699999998127,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,2,64,ok,1,256,23.465499999999963,194.81529199999994,,,,194.81133399999993,328.51630558857784,248.3125,248.3125,0.03125,248.859375,406.890625,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.1938750000000482,0.11387500000000728,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,3,64,ok,1,256,23.23016700000005,239.48233299999998,,,,239.47529200000002,267.2430955480962,248.015625,248.015625,0.046875,248.59375,406.078125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.209041999999954,0.13408400000002985,0,0,0,false,false,false,false,0,0,0,0,0,0,
linear-resume,raw-cold-first-open,auto,current,current,1,4,64,ok,1,256,29.41149999999999,218.37312500000002,,,,218.36875000000003,293.07635726694843,232.4375,232.4375,0.046875,232.78125,405.78125,"{""descriptorSecurityPreflight"":null,""semanticScan"":null,""indexTailBuildScan"":null,""indexSerializationWrite"":null,""dictionaryBuild"":null,""parentBuild"":null,""metadataDeltaPublication"":null,""fsync"":null,""commitPublicationClassification"":null,""hotSuffixMaterialization"":null}","{""gcRequests"":0,""gcElapsedMs"":0,""bytesRead"":0,""bytesWritten"":0,""recordsParsed"":0,""lineAssemblyCopyCount"":0,""lineAssemblyCopyBytes"":0,""indexWriteCalls"":0,""indexWriteBytes"":0,""fsyncCount"":0,""fsyncElapsedMs"":0}",0.25958300000002055,0.1117500000000291,0,0,0,false,false,false,false,0,0,0,0,0,0,
