scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,openConcurrency,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode,failureMessage
linear-resume,raw-cold-first-open,enabled,pressure,current,1,0,1,384,ok,1,1536,119.15754199999998,464.348458,,,,464.20325,826.9651667498376,91.453125,91.453125,0.265625,91.9375,303.84375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.026,""cpuUserMicros"":29,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":356.295875,""cpuUserMicros"":395132,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":79.078,""cpuUserMicros"":86050,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":3.314891,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":6.363167,""cpuUserMicros"":7123,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":36.769542,""cpuUserMicros"":38871,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.037375,""cpuUserMicros"":38,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.900292,""cpuUserMicros"":624,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.41775,""cpuUserMicros"":1420,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.179834,""cpuUserMicros"":2380,""cpuSystemMicros"":null}}","{""gcRequests"":5,""gcElapsedMs"":21.687666999999998,""bytesRead"":470138331,""bytesWritten"":376964,""recordsParsed"":1540,""lineAssemblyCopyCount"":7691,""lineAssemblyCopyBytes"":403109637,""indexWriteCalls"":2,""indexWriteBytes"":376283,""fsyncCount"":2,""fsyncElapsedMs"":0.895458}",0.7189579999999296,0.051791999999977634,1,0,45.06850051879883,45.0625,0.26418399810791016,0.9427337646484375,true,true,true,true,5,470138331,376964,1540,2,2,,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,1,1,384,ok,1,1536,116.01529099999999,487.289917,,,,487.13175,788.0319017559315,98.25,98.25,0.09375,98.5,311.140625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.028833,""cpuUserMicros"":31,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":359.76825,""cpuUserMicros"":399464,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":95.578208,""cpuUserMicros"":104044,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":3.59306,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":9.303709,""cpuUserMicros"":10549,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":46.9945,""cpuUserMicros"":49039,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.05475,""cpuUserMicros"":55,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":1.067083,""cpuUserMicros"":734,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":2.052167,""cpuUserMicros"":2045,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.682125,""cpuUserMicros"":2772,""cpuSystemMicros"":null}}","{""gcRequests"":5,""gcElapsedMs"":23.079793,""bytesRead"":470138331,""bytesWritten"":376964,""recordsParsed"":1540,""lineAssemblyCopyCount"":7691,""lineAssemblyCopyBytes"":403109637,""indexWriteCalls"":2,""indexWriteBytes"":376283,""fsyncCount"":2,""fsyncElapsedMs"":1.0615830000000002}",0.7560829999999896,0.0780409999999847,1,0,45.06850051879883,45.0625,0.26418399810791016,0.9427337646484375,true,true,true,true,5,470138331,376964,1540,2,2,,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,0,1,512,ok,1,2047,142.75741699999998,594.7034160000001,,,,594.5633750000001,860.9333429488825,95.421875,95.421875,0.140625,95.625,338.046875,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.026791,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":465.69825,""cpuUserMicros"":513587.99999999994,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":102.049083,""cpuUserMicros"":110035,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":3.806565,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":9.686375,""cpuUserMicros"":10865,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":53.528125,""cpuUserMicros"":56164,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.042042,""cpuUserMicros"":42,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.862625,""cpuUserMicros"":790,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.6345,""cpuUserMicros"":1656,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.454708,""cpuUserMicros"":3130,""cpuSystemMicros"":null}}","{""gcRequests"":5,""gcElapsedMs"":19.693916,""bytesRead"":604482789,""bytesWritten"":503696,""recordsParsed"":2051,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.857583}",0.8704589999999826,0.08591699999988123,1,0,45.40183448791504,45.0625,0.5975179672241211,1.2580499649047852,true,true,true,true,5,604482789,503696,2051,2,2,,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,1,1,512,ok,1,2047,152.996417,579.0157080000001,,,,578.862292,884.2592574362419,102.34375,102.34375,0.15625,103.1875,357.328125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.026125,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":459.145375,""cpuUserMicros"":510236,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":94.047459,""cpuUserMicros"":101504,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":3.401229,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":9.538167,""cpuUserMicros"":10668,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":47.228584,""cpuUserMicros"":49774,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.03575,""cpuUserMicros"":35,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.938917,""cpuUserMicros"":653,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.57075,""cpuUserMicros"":1587,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.576541,""cpuUserMicros"":2586,""cpuSystemMicros"":null}}","{""gcRequests"":5,""gcElapsedMs"":20.495082,""bytesRead"":604482789,""bytesWritten"":503696,""recordsParsed"":2051,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.9333750000000001}",0.835790999999972,0.08983399999988251,1,0,45.40183448791504,45.0625,0.5975179672241211,1.2580499649047852,true,true,true,true,5,604482789,503696,2051,2,2,,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,0,1,768,ok,1,3071,233.64633300000003,743.326,,,,743.1610000000001,1033.1940494480214,88.359375,88.359375,0.609375,89.078125,350.4375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.029625,""cpuUserMicros"":31,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":686.860583,""cpuUserMicros"":748054,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":30.882291,""cpuUserMicros"":31915,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":5.019305,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002458,""cpuUserMicros"":2,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.00125,""cpuUserMicros"":2,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.044417,""cpuUserMicros"":45,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.671625,""cpuUserMicros"":593,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.720042,""cpuUserMicros"":1677,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.953833,""cpuUserMicros"":3015,""cpuSystemMicros"":null}}","{""gcRequests"":7,""gcElapsedMs"":27.460416000000002,""bytesRead"":873172195,""bytesWritten"":757644,""recordsParsed"":3075,""lineAssemblyCopyCount"":4937,""lineAssemblyCopyBytes"":644573229,""indexWriteCalls"":3,""indexWriteBytes"":756963,""fsyncCount"":2,""fsyncElapsedMs"":0.666834}",1.206583000000137,0.08929200000011406,1,0,45.06785011291504,45.0625,0.2571535110473633,0.7233190536499023,true,true,false,false,7,873172195,757644,3075,3,2,,
linear-resume,raw-cold-first-open,enabled,pressure,current,1,1,1,768,ok,1,3071,235.34866700000003,747.818333,,,,747.6720409999999,1026.9873926720113,96.296875,96.296875,0.46875,96.875,365.734375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.061958,""cpuUserMicros"":63,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":690.241792,""cpuUserMicros"":755441,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":32.145125,""cpuUserMicros"":33038,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":5.48102,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002583,""cpuUserMicros"":2,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001166,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.046334,""cpuUserMicros"":46,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":1.011833,""cpuUserMicros"":694.0000000000001,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.477083,""cpuUserMicros"":1453,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.538875,""cpuUserMicros"":2447,""cpuSystemMicros"":null}}","{""gcRequests"":7,""gcElapsedMs"":29.156001000000003,""bytesRead"":873172195,""bytesWritten"":757644,""recordsParsed"":3075,""lineAssemblyCopyCount"":4937,""lineAssemblyCopyBytes"":644573229,""indexWriteCalls"":3,""indexWriteBytes"":756963,""fsyncCount"":2,""fsyncElapsedMs"":1.00675}",1.1357089999999062,0.07295799999997143,1,0,45.06785011291504,45.0625,0.2571535110473633,0.7233190536499023,true,true,false,false,7,873172195,757644,3075,3,2,,
