scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode
linear-resume,raw-cold-first-open,enabled,current,lazy,1,0,384,ok,1,1536,123.11279200000001,1626.223959,,,,1626.068708,236.12983800591024,112.921875,112.921875,0.09375,113.1875,329.25,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.023959,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":493.165625,""cpuUserMicros"":727170,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":34.398417,""cpuUserMicros"":35652,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":0.006542,""cpuUserMicros"":7,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.002625,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.055875,""cpuUserMicros"":56,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":481.230333,""cpuUserMicros"":822888,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.899416,""cpuUserMicros"":3622,""cpuSystemMicros"":null}}","{""gcRequests"":37,""gcElapsedMs"":145.605833,""bytesRead"":470135489,""bytesWritten"":376964,""recordsParsed"":1538,""lineAssemblyCopyCount"":7691,""lineAssemblyCopyBytes"":403109637,""indexWriteCalls"":2,""indexWriteBytes"":376283,""fsyncCount"":2,""fsyncElapsedMs"":5.2620000000000005}",1.2435409999998228,0.08812499999976353,1,0,45.06850051879883,45.0625,0.25780391693115234,0.3602743148803711,true,true,false,false,37,470135489,376964,1538,2,2,
linear-resume,raw-cold-first-open,enabled,current,lazy,1,1,384,ok,1,1536,107.99925000000002,1585.953041,,,,1585.839958,242.12570616710966,113.375,113.375,0.1875,113.8125,337.09375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.026291,""cpuUserMicros"":37,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":520.963291,""cpuUserMicros"":790553,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":30.79825,""cpuUserMicros"":32366,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":0.005417,""cpuUserMicros"":4,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001167,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.034708,""cpuUserMicros"":35,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":437.159,""cpuUserMicros"":755061,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.863791,""cpuUserMicros"":2843,""cpuSystemMicros"":null}}","{""gcRequests"":37,""gcElapsedMs"":169.15591700000002,""bytesRead"":470135489,""bytesWritten"":376964,""recordsParsed"":1538,""lineAssemblyCopyCount"":7691,""lineAssemblyCopyBytes"":403109637,""indexWriteCalls"":2,""indexWriteBytes"":376283,""fsyncCount"":2,""fsyncElapsedMs"":0.9206669999999999}",1.1743330000001606,0.08083299999998417,1,0,45.06850051879883,45.0625,0.25780391693115234,0.3602743148803711,true,true,false,false,37,470135489,376964,1538,2,2,
linear-resume,raw-cold-first-open,enabled,current,lazy,1,0,512,ok,1,2047,191.13654200000002,2091.232,,,,2091.104792,244.83175467858183,113.6875,113.6875,0.09375,114,368.578125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.035917,""cpuUserMicros"":38,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":667.787208,""cpuUserMicros"":986501,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":34.43425,""cpuUserMicros"":34822,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":0.0055,""cpuUserMicros"":6,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001084,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.031417,""cpuUserMicros"":33,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":609.288458,""cpuUserMicros"":1042741,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.290959,""cpuUserMicros"":3122,""cpuSystemMicros"":null}}","{""gcRequests"":42,""gcElapsedMs"":190.70479100000003,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.724}",1.2522500000000036,0.10716600000023391,1,0,45.40183448791504,45.0625,0.5911378860473633,0.48113536834716797,true,true,false,false,42,604305184,503696,2049,2,2,
linear-resume,raw-cold-first-open,enabled,current,lazy,1,1,512,ok,1,2047,180.289292,2077.7936250000002,,,,2077.627708,246.41523288916622,113.921875,113.921875,0.109375,114.21875,368.734375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.038625,""cpuUserMicros"":40,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":654.155459,""cpuUserMicros"":946945,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":32.34075,""cpuUserMicros"":33049,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":0.009167,""cpuUserMicros"":9,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001375,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.046791,""cpuUserMicros"":47,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":614.889083,""cpuUserMicros"":1039896,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.093667,""cpuUserMicros"":2516,""cpuSystemMicros"":null}}","{""gcRequests"":42,""gcElapsedMs"":181.62166500000006,""bytesRead"":604305184,""bytesWritten"":503696,""recordsParsed"":2049,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":2.6535}",0.9045419999997648,0.051040999999713677,1,0,45.40183448791504,45.0625,0.5911378860473633,0.48113536834716797,true,true,false,false,42,604305184,503696,2049,2,2,
linear-resume,raw-cold-first-open,enabled,current,lazy,1,0,768,ok,1,3071,266.53758300000004,3076.9106659999998,,,,3076.737708,249.6010067781409,119.546875,119.546875,0.0625,119.796875,385.28125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.055041,""cpuUserMicros"":53,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":985.595417,""cpuUserMicros"":1458995,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":30.877584,""cpuUserMicros"":32500,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":0.007209,""cpuUserMicros"":6,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001125,""cpuUserMicros"":2,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.04375,""cpuUserMicros"":45,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":909.881542,""cpuUserMicros"":1543031,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.375625,""cpuUserMicros"":3211,""cpuSystemMicros"":null}}","{""gcRequests"":57,""gcElapsedMs"":258.10003900000004,""bytesRead"":873169694,""bytesWritten"":757644,""recordsParsed"":3073,""lineAssemblyCopyCount"":4937,""lineAssemblyCopyBytes"":644573229,""indexWriteCalls"":3,""indexWriteBytes"":756963,""fsyncCount"":2,""fsyncElapsedMs"":0.730959}",1.5414580000001479,0.08091699999977209,1,0,45.06785011291504,45.0625,0.2571535110473633,0.7233190536499023,true,true,false,false,57,873169694,757644,3073,3,2,
linear-resume,raw-cold-first-open,enabled,current,lazy,1,1,768,ok,1,3071,259.71829199999996,3073.091625,,,,3072.943625,249.91119488668028,118.59375,118.59375,0.359375,119.1875,384.734375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.044208,""cpuUserMicros"":45,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":967.375708,""cpuUserMicros"":1400547,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":34.084458,""cpuUserMicros"":35572,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":0.006542,""cpuUserMicros"":7,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001041,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.039334,""cpuUserMicros"":39,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":883.69675,""cpuUserMicros"":1515138,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.995917,""cpuUserMicros"":3456,""cpuSystemMicros"":null}}","{""gcRequests"":57,""gcElapsedMs"":231.41894800000006,""bytesRead"":873169694,""bytesWritten"":757644,""recordsParsed"":3073,""lineAssemblyCopyCount"":4937,""lineAssemblyCopyBytes"":644573229,""indexWriteCalls"":3,""indexWriteBytes"":756963,""fsyncCount"":2,""fsyncElapsedMs"":0.752999}",1.4259170000000267,0.10191600000007384,1,0,45.06785011291504,45.0625,0.2571535110473633,0.7233190536499023,true,true,false,false,57,873169694,757644,3073,3,2,
