scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,openConcurrency,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode,failureMessage
linear-resume,raw-cold-first-open,enabled,pressure,off,1,0,1,128,ok,1,512,42.27962500000001,181.008333,,,,180.87179200000003,707.1497642045022,86.484375,86.484375,0.203125,86.875,275.859375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.027334,""cpuUserMicros"":29,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":121.984459,""cpuUserMicros"":141421,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":32.040208,""cpuUserMicros"":32465.000000000004,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":1.063951,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002708,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.000958,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.044458,""cpuUserMicros"":46,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.7433749999999999,""cpuUserMicros"":704,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.53375,""cpuUserMicros"":1522,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.039792,""cpuUserMicros"":3006,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":12.408167,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.738792}",0.6565000000000509,0.07233299999995779,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,enabled,pressure,off,1,1,1,128,ok,1,512,53.562666999999976,177.72566700000004,,,,177.580917,720.2111105313785,88.15625,88.15625,0.1875,88.921875,276.390625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.027916,""cpuUserMicros"":30,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":119.642041,""cpuUserMicros"":138887,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":30.231625,""cpuUserMicros"":31310,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":0.98396,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002084,""cpuUserMicros"":2,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.002458,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.041041,""cpuUserMicros"":41,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.592458,""cpuUserMicros"":553,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.485667,""cpuUserMicros"":1515,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.214291,""cpuUserMicros"":2455,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":11.670625,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":0.588499}",0.5995000000000346,0.05787499999996726,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,enabled,pressure,off,1,2,1,128,ok,1,512,43.423833,192.74637500000006,,,,192.60324999999995,664.0851222234398,88.28125,88.28125,0.140625,88.59375,264.734375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.032917,""cpuUserMicros"":35,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":125.062083,""cpuUserMicros"":144345,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":31.020334,""cpuUserMicros"":31288,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":1.288913,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002458,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.002375,""cpuUserMicros"":2,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.044375,""cpuUserMicros"":45,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":1.770791,""cpuUserMicros"":645.9999999999999,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":5.330708,""cpuUserMicros"":1679,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.128375,""cpuUserMicros"":2455,""cpuSystemMicros"":null}}","{""gcRequests"":3,""gcElapsedMs"":12.805833,""bytesRead"":201450875,""bytesWritten"":124961,""recordsParsed"":516,""lineAssemblyCopyCount"":2564,""lineAssemblyCopyBytes"":134675818,""indexWriteCalls"":1,""indexWriteBytes"":124283,""fsyncCount"":2,""fsyncElapsedMs"":1.765333}",0.7287499999999909,0.06416600000000017,1,0,45.39968490600586,45.0625,0.5889825820922852,0.11994457244873047,true,true,false,false,3,201450875,124961,516,1,2,,
linear-resume,raw-cold-first-open,enabled,pressure,off,1,0,1,512,ok,1,2047,171.283459,510.723,,,,510.58566600000006,1002.5003769166456,96.25,96.25,0.359375,96.78125,336.203125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.025541,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":456.250708,""cpuUserMicros"":502461,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":29.77425,""cpuUserMicros"":30779,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":3.228701,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002833,""cpuUserMicros"":4,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.00125,""cpuUserMicros"":2,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.037542,""cpuUserMicros"":39,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.6786679999999999,""cpuUserMicros"":612,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.5315,""cpuUserMicros"":1514,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":7.866625,""cpuUserMicros"":3118,""cpuSystemMicros"":null}}","{""gcRequests"":5,""gcElapsedMs"":18.971375000000002,""bytesRead"":604482789,""bytesWritten"":503696,""recordsParsed"":2051,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.674626}",0.9074580000000196,0.06504200000006222,1,0,45.40183448791504,45.0625,0.5911378860473633,0.48113536834716797,true,true,false,false,5,604482789,503696,2051,2,2,,
linear-resume,raw-cold-first-open,enabled,pressure,off,1,1,1,512,ok,1,2047,177.33820799999995,518.8684170000001,,,,518.7240830000001,986.7626998002461,88.34375,88.34375,0.265625,88.890625,328.015625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.021958,""cpuUserMicros"":23,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":459.098041,""cpuUserMicros"":509657,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":31.677417,""cpuUserMicros"":32723.999999999996,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":3.514168,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002291,""cpuUserMicros"":2,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001083,""cpuUserMicros"":1,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.037125,""cpuUserMicros"":37,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.875543,""cpuUserMicros"":913,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":1.778334,""cpuUserMicros"":1726,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":4.710042,""cpuUserMicros"":2812,""cpuSystemMicros"":null}}","{""gcRequests"":5,""gcElapsedMs"":20.160749,""bytesRead"":604482789,""bytesWritten"":503696,""recordsParsed"":2051,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.871042}",1.0535830000000033,0.06229099999995924,1,0,45.40183448791504,45.0625,0.5911378860473633,0.48113536834716797,true,true,false,false,5,604482789,503696,2051,2,2,,
linear-resume,raw-cold-first-open,enabled,pressure,off,1,2,1,512,ok,1,2047,167.479584,524.4480000000001,,,,524.2481660000001,976.2645676978459,96.765625,96.765625,0.28125,97.375,340.28125,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.021625,""cpuUserMicros"":23,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":465.531459,""cpuUserMicros"":512129,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":31.464167,""cpuUserMicros"":32426.000000000004,""cpuSystemMicros"":null},""indexSerializationWrite"":{""elapsedMs"":3.922896,""cpuUserMicros"":null,""cpuSystemMicros"":null},""dictionaryBuild"":{""elapsedMs"":0.002208,""cpuUserMicros"":3,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":0.001125,""cpuUserMicros"":2,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.031708,""cpuUserMicros"":32,""cpuSystemMicros"":null},""fsync"":{""elapsedMs"":0.678083,""cpuUserMicros"":610,""cpuSystemMicros"":null},""commitPublicationClassification"":{""elapsedMs"":4.431125,""cpuUserMicros"":1867,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":6.482208,""cpuUserMicros"":3303,""cpuSystemMicros"":null}}","{""gcRequests"":5,""gcElapsedMs"":19.465833,""bytesRead"":604482789,""bytesWritten"":503696,""recordsParsed"":2051,""lineAssemblyCopyCount"":10255,""lineAssemblyCopyBytes"":537330479,""indexWriteCalls"":2,""indexWriteBytes"":503013,""fsyncCount"":2,""fsyncElapsedMs"":0.672667}",1.0643329999999196,0.07445799999993596,1,0,45.40183448791504,45.0625,0.5911378860473633,0.48113536834716797,true,true,false,false,5,604482789,503696,2051,2,2,,
