scenario,operationClass,sessionMemoryMode,gcStrategy,secondaryArtifacts,repetitions,repetitionIndex,targetMiB,status,fileCount,entryCount,generationMs,firstOpenMs,exactAuthenticatedReopenMs,transcriptAheadReopenMs,repeatedLifecycleMs,firstOpenP95Ms,throughputMiBPerSecond,operationRssGrowthMiB,firstOpenRssGrowthMiB,lookupRssGrowthMiB,teardownRssGrowthMiB,maxRssMiB,phaseEvidenceJson,counterEvidenceJson,coldLookupP95Ms,warmLookupP95Ms,coldRangeReads,warmRangeReads,accountedMiB,reservedMiB,residentMiB,sidecarFileMiB,sidecarEnabled,coldRetirementActive,dictionaryArtifactEnabled,parentArtifactEnabled,gcRequests,bytesRead,bytesWritten,recordsParsed,indexWriteCalls,fsyncCount,failureCode
subagent-tree,raw-cold-first-open,auto,current,current,1,0,512,ok,5,2050,172.222709,2771.190416,,,,610.8950420000001,184.7581447467015,91.421875,91.421875,0.1875,91.828125,296.640625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.025916,""cpuUserMicros"":28,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":196.681708,""cpuUserMicros"":346504,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":64.5395,""cpuUserMicros"":68735,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.66825,""cpuUserMicros"":5721,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":36.835625,""cpuUserMicros"":38363,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.035083,""cpuUserMicros"":35,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":126.257792,""cpuUserMicros"":211118,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.512958,""cpuUserMicros"":3451,""cpuSystemMicros"":null}}","{""gcRequests"":105,""gcElapsedMs"":487.98103599999996,""bytesRead"":738332628,""bytesWritten"":500355,""recordsParsed"":2060,""lineAssemblyCopyCount"":10265,""lineAssemblyCopyBytes"":539160818,""indexWriteCalls"":5,""indexWriteBytes"":496970,""fsyncCount"":10,""fsyncElapsedMs"":2.998459}",1.0967920000002778,0.07483300000012605,5,0,226.00556564331055,225.3125,1.984145164489746,1.2761516571044922,true,true,true,true,105,738332628,500355,2060,5,10,
subagent-tree,raw-cold-first-open,auto,current,current,1,1,512,ok,5,2050,163.02612499999998,2750.9096250000002,,,,569.9573749999997,186.12025467757778,91.390625,91.390625,0.203125,91.984375,296.609375,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.034042,""cpuUserMicros"":35,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":190.564625,""cpuUserMicros"":342113,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":62.495917,""cpuUserMicros"":66702,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":5.232167,""cpuUserMicros"":6120,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":33.526916,""cpuUserMicros"":35006,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.042833,""cpuUserMicros"":43,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":108.695167,""cpuUserMicros"":178232,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.178541,""cpuUserMicros"":3051,""cpuSystemMicros"":null}}","{""gcRequests"":105,""gcElapsedMs"":490.12974899999995,""bytesRead"":738332628,""bytesWritten"":500355,""recordsParsed"":2060,""lineAssemblyCopyCount"":10265,""lineAssemblyCopyBytes"":539160818,""indexWriteCalls"":5,""indexWriteBytes"":496970,""fsyncCount"":10,""fsyncElapsedMs"":3.5267920000000004}",1.4906660000001466,0.09333299999980227,5,0,226.00556564331055,225.3125,1.984145164489746,1.2761516571044922,true,true,true,true,105,738332628,500355,2060,5,10,
subagent-tree,raw-cold-first-open,auto,current,current,1,2,512,ok,5,2050,155.529,2786.119125,,,,574.6791250000001,183.76816533284446,90.921875,90.921875,0.234375,91.5,292.5625,"{""descriptorSecurityPreflight"":{""elapsedMs"":0.025083,""cpuUserMicros"":26,""cpuSystemMicros"":null},""semanticScan"":{""elapsedMs"":191.928167,""cpuUserMicros"":341662,""cpuSystemMicros"":null},""indexTailBuildScan"":{""elapsedMs"":71.161667,""cpuUserMicros"":75416,""cpuSystemMicros"":null},""indexSerializationWrite"":null,""dictionaryBuild"":{""elapsedMs"":4.755708,""cpuUserMicros"":5934,""cpuSystemMicros"":null},""parentBuild"":{""elapsedMs"":43.429416,""cpuUserMicros"":44627,""cpuSystemMicros"":null},""metadataDeltaPublication"":{""elapsedMs"":0.040917,""cpuUserMicros"":41,""cpuSystemMicros"":null},""fsync"":null,""commitPublicationClassification"":{""elapsedMs"":124.476833,""cpuUserMicros"":212775,""cpuSystemMicros"":null},""hotSuffixMaterialization"":{""elapsedMs"":5.098042,""cpuUserMicros"":3156,""cpuSystemMicros"":null}}","{""gcRequests"":105,""gcElapsedMs"":505.535618,""bytesRead"":738332628,""bytesWritten"":500355,""recordsParsed"":2060,""lineAssemblyCopyCount"":10265,""lineAssemblyCopyBytes"":539160818,""indexWriteCalls"":5,""indexWriteBytes"":496970,""fsyncCount"":10,""fsyncElapsedMs"":3.204331}",0.6252920000001723,0.07854200000019773,5,0,226.00556564331055,225.3125,1.984145164489746,1.2761516571044922,true,true,true,true,105,738332628,500355,2060,5,10,
